IUPAC,     shell.filled,subshell.filled,shell.source,subshell.source,Siegbahn,Siegbahn.short,IUPAC.formatted,Siegbahn.formatted
M2N4,      M,M2,    N,N4,,,              $\mathrm{M}_2\mathrm{N}_4$,
M3N1,      M,M3,    N,N1,,,              $\mathrm{M}_3\mathrm{N}_1$,
M3N4,      M,M3,    N,N4,     Mg2,   Mg, $\mathrm{M}_3\mathrm{N}_4$,          $\mathrm{M}\gamma_2$
M3N5,      M,M3,    N,N5,     Mg1,   Mg, $\mathrm{M}_3\mathrm{N}_5$,          $\mathrm{M}\gamma_1$
M3O1,      M,M3,    O,O1,,,              $\mathrm{M}_3\mathrm{O}_1$,
M3O4,      M,M3,    O,O4,,,              $\mathrm{M}_3\mathrm{O}_4$,
M3O5,      M,M3,    O,O5,,,              $\mathrm{M}_3\mathrm{O}_5$,
"M4,5N2,3",M,"M4,5",N,"N2,3","Mz1,2",Mz,"$\mathrm{M}_{4,5}\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_{1,2}$"
"M4N2,3",  M,M4,    N,"N2,3", Mz1,   Mz,"$\mathrm{M}_4\mathrm{N}_{2,3}$",     $\mathrm{M}\zeta_1$
M4N3,      M,M4,    N,N3,,,              $\mathrm{M}_4\mathrm{N}_3$,
M4N6,      M,M4,    N,N6,     Mb1,   Mb, $\mathrm{M}_4\mathrm{N}_6$,          $\mathrm{M}\beta_1$
M5N3,      M,M5,    N,N3,     Mz2,   Mz, $\mathrm{M}_5\mathrm{N}_3$,          $\mathrm{M}\zeta_2$
M5N6,      M,M5,    N,N6,     Ma2,   Ma, $\mathrm{M}_5\mathrm{N}_6$,          $\mathrm{M}\alpha_2$
"M5N6,7",  M,M5,    N,"N6,7","Ma1,2",Ma,"$\mathrm{M}_5\mathrm{N}_{6,7}$",    "$\mathrm{M}\alpha_{1,2}$"
M5N7,      M,M5,    N,N7,     Ma1,   Ma, $\mathrm{M}_5\mathrm{N}_7$,          $\mathrm{M}\alpha_1$
K,         K,,,,,,                       $\mathrm{K}$,                        $\mathrm{K}$
L1,        L,,,,,,                       $\mathrm{L}_1$,                      $\mathrm{L}_1$
L2,        L,,,,,,                       $\mathrm{L}_2$,                      $\mathrm{L}_2$
L3,        L,,,,,,                       $\mathrm{L}_3$,                      $\mathrm{L}_3$
M1,        M,,,,,,                       $\mathrm{M}_1$,                      $\mathrm{M}_1$
M2,        M,,,,,,                       $\mathrm{M}_2$,                      $\mathrm{M}_2$
M3,        M,,,,,,                       $\mathrm{M}_3$,                      $\mathrm{M}_3$
M4,        M,,,,,,                       $\mathrm{M}_4$,                      $\mathrm{M}_4$
M5,        M,,,,,,                       $\mathrm{M}_5$,                      $\mathrm{M}_5$
N1,        N,,,,,,                       $\mathrm{N}_1$,                      $\mathrm{N}_1$
