"","Z","element","transition","transition.keV","intensity","width.eV","edge","edge.keV","fluorescence.yield","shell.filled","subshell.filled","shell.source","subshell.source","Siegbahn","Siegbahn.short","IUPAC.formatted","Siegbahn.formatted","uid"
"620",42,"Mo","L1M5",2.637,0,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","42-Mo-L1M5"
"621",42,"Mo","L2N4",2.623,2.1,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","42-Mo-L2N4"
"622",42,"Mo","L1N2",2.828,0.2,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","42-Mo-L1N2"
"623",42,"Mo","L1N3",2.831,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","42-Mo-L1N3"
"624",42,"Mo","L2N1",2.562,0.3,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","42-Mo-L2N1"
"625",42,"Mo","L3M1",2.014,4.2,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","42-Mo-L3M1"
"626",42,"Mo","L2M1",2.119,1.6,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","42-Mo-L2M1"
"627",42,"Mo","M3N5",0.379,NA,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","42-Mo-M3N5"
"628",42,"Mo","M4N2,3",0.193,NA,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","42-Mo-M4N2,3"
"629",42,"Mo","M2N4",0.395,NA,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","42-Mo-M2N4"
"630",42,"Mo","M3N1",0.331,NA,NA,"",NA,NA,"M","M3","N","N1","","","$\mathrm{M}_3\mathrm{N}_1$","","42-Mo-M3N1"
"631",42,"Mo","",NA,NA,NA,"K",20,0.765,"","","","","","","$\mathrm{K}$","","42-Mo-K"
"632",42,"Mo","",NA,NA,NA,"L1",2.866,0.01,"","","","","","","$\mathrm{L}_1$","","42-Mo-L1"
"633",42,"Mo","",NA,NA,NA,"L2",2.625,0.034,"","","","","","","$\mathrm{L}_2$","","42-Mo-L2"
"634",42,"Mo","",NA,NA,NA,"L3",2.52,0.037,"","","","","","","$\mathrm{L}_3$","","42-Mo-L3"
"635",42,"Mo","",NA,NA,NA,"M1",0.506,NA,"","","","","","","$\mathrm{M}_1$","","42-Mo-M1"
"636",42,"Mo","",NA,NA,NA,"M2",0.412,NA,"","","","","","","$\mathrm{M}_2$","","42-Mo-M2"
"637",42,"Mo","",NA,NA,NA,"M3",0.394,NA,"","","","","","","$\mathrm{M}_3$","","42-Mo-M3"
"638",42,"Mo","",NA,NA,NA,"M4",0.231,NA,"","","","","","","$\mathrm{M}_4$","","42-Mo-M4"
"639",42,"Mo","",NA,NA,NA,"M5",0.228,NA,"","","","","","","$\mathrm{M}_5$","","42-Mo-M5"
"640",42,"Mo","",NA,NA,NA,"N1",0.063,NA,"","","","","","","$\mathrm{N}_1$","","42-Mo-N1"
"641",43,"Tc","KL3",18.367,NA,6.82,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","43-Tc-KL3"
"642",43,"Tc","KL2",18.251,NA,6.99,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","43-Tc-KL2"
"643",43,"Tc","KM3",20.626,NA,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","43-Tc-KM3"
"644",43,"Tc","KN2,3",21.002,NA,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","43-Tc-KN2,3"
"645",43,"Tc","KM2",20.599,NA,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","43-Tc-KM2"
"646",43,"Tc","L3M5",2.423,NA,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","43-Tc-L3M5"
"647",43,"Tc","L3M4",2.419,NA,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","43-Tc-L3M4"
"648",43,"Tc","L2M4",2.535,NA,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","43-Tc-L2M4"
"649",43,"Tc","L3N5",2.674,NA,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","43-Tc-L3N5"
"650",43,"Tc","L1M3",2.625,NA,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","43-Tc-L1M3"
"651",43,"Tc","L1M2",2.595,NA,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","43-Tc-L1M2"
"652",43,"Tc","L3N1",2.608,NA,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","43-Tc-L3N1"
"653",43,"Tc","L1M5",2.802,NA,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","43-Tc-L1M5"
"654",43,"Tc","L2N4",2.79,NA,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","43-Tc-L2N4"
"655",43,"Tc","L1N2",3.001,NA,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","43-Tc-L1N2"
"656",43,"Tc","L1N3",3.003,NA,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","43-Tc-L1N3"
"657",43,"Tc","L2N1",2.727,NA,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","43-Tc-L2N1"
"658",43,"Tc","L3M1",2.133,NA,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","43-Tc-L3M1"
"659",43,"Tc","L2M1",2.249,NA,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","43-Tc-L2M1"
"660",43,"Tc","",NA,NA,NA,"K",21.044,0.78,"","","","","","","$\mathrm{K}$","","43-Tc-K"
"661",43,"Tc","",NA,NA,NA,"L1",3.043,0.011,"","","","","","","$\mathrm{L}_1$","","43-Tc-L1"
"662",43,"Tc","",NA,NA,NA,"L2",2.793,0.037,"","","","","","","$\mathrm{L}_2$","","43-Tc-L2"
"663",43,"Tc","",NA,NA,NA,"L3",2.677,0.04,"","","","","","","$\mathrm{L}_3$","","43-Tc-L3"
"664",43,"Tc","",NA,NA,NA,"M1",0.544,NA,"","","","","","","$\mathrm{M}_1$","","43-Tc-M1"
"665",43,"Tc","",NA,NA,NA,"M2",0.448,NA,"","","","","","","$\mathrm{M}_2$","","43-Tc-M2"
"666",43,"Tc","",NA,NA,NA,"M3",0.418,NA,"","","","","","","$\mathrm{M}_3$","","43-Tc-M3"
"667",43,"Tc","",NA,NA,NA,"M4",0.258,NA,"","","","","","","$\mathrm{M}_4$","","43-Tc-M4"
"668",43,"Tc","",NA,NA,NA,"M5",0.254,NA,"","","","","","","$\mathrm{M}_5$","","43-Tc-M5"
"669",43,"Tc","",NA,NA,NA,"N1",0.07,NA,"","","","","","","$\mathrm{N}_1$","","43-Tc-N1"
"670",44,"Ru","KL3",19.279,100,7.33,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","44-Ru-KL3"
"671",44,"Ru","KL2",19.15,53.9,7.56,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","44-Ru-KL2"
"672",44,"Ru","KM3",21.656,26.5,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","44-Ru-KM3"
"673",44,"Ru","KN2,3",22.071,4.2,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","44-Ru-KN2,3"
"674",44,"Ru","KM2",21.637,NA,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","44-Ru-KM2"
"675",44,"Ru","L3M5",2.558,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","44-Ru-L3M5"
"676",44,"Ru","L3M4",2.554,11.3,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","44-Ru-L3M4"
"677",44,"Ru","L2M4",2.683,52.5,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","44-Ru-L2M4"
"678",44,"Ru","L3N5",2.835,7.3,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","44-Ru-L3N5"
"679",44,"Ru","L1M3",2.763,2.5,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","44-Ru-L1M3"
"680",44,"Ru","L1M2",2.741,1.4,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","44-Ru-L1M2"
"681",44,"Ru","L3N1",2.763,0.8,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","44-Ru-L3N1"
"682",44,"Ru","L1M5",2.953,0,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","44-Ru-L1M5"
"683",44,"Ru","L2N4",2.964,3.5,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","44-Ru-L2N4"
"684",44,"Ru","L1N2",3.178,0.3,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","44-Ru-L1N2"
"685",44,"Ru","L1N3",3.181,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","44-Ru-L1N3"
"686",44,"Ru","L2N1",2.891,0.3,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","44-Ru-L2N1"
"687",44,"Ru","L3M1",2.252,4.1,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","44-Ru-L3M1"
"688",44,"Ru","L2M1",2.381,1.6,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","44-Ru-L2M1"
"689",44,"Ru","M3N5",0.461,NA,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","44-Ru-M3N5"
"690",44,"Ru","M4N2,3",0.237,NA,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","44-Ru-M4N2,3"
"691",44,"Ru","M2N4",0.486,NA,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","44-Ru-M2N4"
"692",44,"Ru","",NA,NA,NA,"K",22.117,0.794,"","","","","","","$\mathrm{K}$","","44-Ru-K"
"693",44,"Ru","",NA,NA,NA,"L1",3.224,0.012,"","","","","","","$\mathrm{L}_1$","","44-Ru-L1"
"694",44,"Ru","",NA,NA,NA,"L2",2.967,0.04,"","","","","","","$\mathrm{L}_2$","","44-Ru-L2"
"695",44,"Ru","",NA,NA,NA,"L3",2.838,0.043,"","","","","","","$\mathrm{L}_3$","","44-Ru-L3"
"696",44,"Ru","",NA,NA,NA,"M1",0.586,NA,"","","","","","","$\mathrm{M}_1$","","44-Ru-M1"
"697",44,"Ru","",NA,NA,NA,"M2",0.483,NA,"","","","","","","$\mathrm{M}_2$","","44-Ru-M2"
"698",44,"Ru","",NA,NA,NA,"M3",0.462,NA,"","","","","","","$\mathrm{M}_3$","","44-Ru-M3"
"699",44,"Ru","",NA,NA,NA,"M4",0.284,NA,"","","","","","","$\mathrm{M}_4$","","44-Ru-M4"
"700",44,"Ru","",NA,NA,NA,"M5",0.28,NA,"","","","","","","$\mathrm{M}_5$","","44-Ru-M5"
"701",44,"Ru","",NA,NA,NA,"N1",0.075,NA,"","","","","","","$\mathrm{N}_1$","","44-Ru-N1"
"702",45,"Rh","KL3",20.216,100,7.9,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","45-Rh-KL3"
"703",45,"Rh","KL2",20.074,54.1,8.12,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","45-Rh-KL2"
"704",45,"Rh","KM3",22.724,17.7,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","45-Rh-KM3"
"705",45,"Rh","KN2,3",23.17,4.4,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","45-Rh-KN2,3"
"706",45,"Rh","KM2",22.699,9.1,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","45-Rh-KM2"
"707",45,"Rh","L3M5",2.697,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","45-Rh-L3M5"
"708",45,"Rh","L3M4",2.692,11.3,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","45-Rh-L3M4"
"709",45,"Rh","L2M4",2.834,52.5,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","45-Rh-L2M4"
"710",45,"Rh","L3N5",3.001,8.5,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","45-Rh-L3N5"
"711",45,"Rh","L1M3",2.916,2.4,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","45-Rh-L1M3"
"712",45,"Rh","L1M2",2.891,1.4,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","45-Rh-L1M2"
"713",45,"Rh","L3N1",2.923,0.8,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","45-Rh-L3N1"
"714",45,"Rh","L1M5",3.109,0,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","45-Rh-L1M5"
"715",45,"Rh","L2N4",3.144,4.1,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","45-Rh-L2N4"
"716",45,"Rh","L1N2",3.362,0.3,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","45-Rh-L1N2"
"717",45,"Rh","L1N3",3.365,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","45-Rh-L1N3"
"718",45,"Rh","L2N1",3.063,0.3,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","45-Rh-L2N1"
"719",45,"Rh","L3M1",2.376,4.1,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","45-Rh-L3M1"
"720",45,"Rh","L2M1",2.518,1.6,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","45-Rh-L2M1"
"721",45,"Rh","M3N5",0.496,NA,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","45-Rh-M3N5"
"722",45,"Rh","M4N2,3",0.26,NA,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","45-Rh-M4N2,3"
"723",45,"Rh","M3N1",0.416,NA,NA,"",NA,NA,"M","M3","N","N1","","","$\mathrm{M}_3\mathrm{N}_1$","","45-Rh-M3N1"
"724",45,"Rh","",NA,NA,NA,"K",23.22,0.808,"","","","","","","$\mathrm{K}$","","45-Rh-K"
"725",45,"Rh","",NA,NA,NA,"L1",3.412,0.013,"","","","","","","$\mathrm{L}_1$","","45-Rh-L1"
"726",45,"Rh","",NA,NA,NA,"L2",3.146,0.043,"","","","","","","$\mathrm{L}_2$","","45-Rh-L2"
"727",45,"Rh","",NA,NA,NA,"L3",3.004,0.046,"","","","","","","$\mathrm{L}_3$","","45-Rh-L3"
"728",45,"Rh","",NA,NA,NA,"M1",0.628,NA,"","","","","","","$\mathrm{M}_1$","","45-Rh-M1"
"729",45,"Rh","",NA,NA,NA,"M2",0.521,NA,"","","","","","","$\mathrm{M}_2$","","45-Rh-M2"
"730",45,"Rh","",NA,NA,NA,"M3",0.497,NA,"","","","","","","$\mathrm{M}_3$","","45-Rh-M3"
"731",45,"Rh","",NA,NA,NA,"M4",0.312,NA,"","","","","","","$\mathrm{M}_4$","","45-Rh-M4"
"732",45,"Rh","",NA,NA,NA,"M5",0.307,NA,"","","","","","","$\mathrm{M}_5$","","45-Rh-M5"
"733",45,"Rh","",NA,NA,NA,"N1",0.081,NA,"","","","","","","$\mathrm{N}_1$","","45-Rh-N1"
"734",46,"Pd","KL3",21.177,100,8.49,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","46-Pd-KL3"
"735",46,"Pd","KL2",21.02,54.2,8.67,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","46-Pd-KL2"
"736",46,"Pd","KM3",23.818,17.9,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","46-Pd-KM3"
"737",46,"Pd","KN2,3",24.294,4.5,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","46-Pd-KN2,3"
"738",46,"Pd","KM2",23.79,9.2,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","46-Pd-KM2"
"739",46,"Pd","L3M5",2.838,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","46-Pd-L3M5"
"740",46,"Pd","L3M4",2.833,11.3,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","46-Pd-L3M4"
"741",46,"Pd","L2M4",2.99,53.8,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","46-Pd-L2M4"
"742",46,"Pd","L3N5",3.172,10.4,NA,"",NA,NA,"L","L3","N","N5","Lb2","Lb","$\mathrm{L}_3\mathrm{N}_5$","$\mathrm{L}\beta_2$","46-Pd-L3N5"
"743",46,"Pd","L1M3",3.072,2.4,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","46-Pd-L1M3"
"744",46,"Pd","L1M2",3.044,1.4,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","46-Pd-L1M2"
"745",46,"Pd","L3N1",3.086,0.8,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","46-Pd-L3N1"
"746",46,"Pd","L1M5",3.272,0,NA,"",NA,NA,"L","L1","M","M5","Lb9","Lb","$\mathrm{L}_1\mathrm{M}_5$","$\mathrm{L}\beta_9$","46-Pd-L1M5"
"747",46,"Pd","L2N4",3.328,5.1,NA,"",NA,NA,"L","L2","N","N4","Lg1","Lg","$\mathrm{L}_2\mathrm{N}_4$","$\mathrm{L}\gamma_1$","46-Pd-L2N4"
"748",46,"Pd","L1N2",3.548,0.3,NA,"",NA,NA,"L","L1","N","N2","Lg2","Lg","$\mathrm{L}_1\mathrm{N}_2$","$\mathrm{L}\gamma_2$","46-Pd-L1N2"
"749",46,"Pd","L1N3",3.553,0.4,NA,"",NA,NA,"L","L1","N","N3","Lg3","Lg","$\mathrm{L}_1\mathrm{N}_3$","$\mathrm{L}\gamma_3$","46-Pd-L1N3"
"750",46,"Pd","L2N1",3.243,0.3,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","46-Pd-L2N1"
"751",46,"Pd","L3M1",2.501,4.1,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","46-Pd-L3M1"
"752",46,"Pd","L2M1",2.658,1.6,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","46-Pd-L2M1"
"753",46,"Pd","M3N5",0.532,NA,NA,"",NA,NA,"M","M3","N","N5","Mg1","Mg","$\mathrm{M}_3\mathrm{N}_5$","$\mathrm{M}\gamma_1$","46-Pd-M3N5"
"754",46,"Pd","M4N2,3",0.284,NA,NA,"",NA,NA,"M","M4","N","N2,3","Mz1","Mz","$\mathrm{M}_4\mathrm{N}_{2,3}$","$\mathrm{M}\zeta_1$","46-Pd-M4N2,3"
"755",46,"Pd","M2N4",0.561,NA,NA,"",NA,NA,"M","M2","N","N4","","","$\mathrm{M}_2\mathrm{N}_4$","","46-Pd-M2N4"
"756",46,"Pd","M3N1",0.473,NA,NA,"",NA,NA,"M","M3","N","N1","","","$\mathrm{M}_3\mathrm{N}_1$","","46-Pd-M3N1"
"757",46,"Pd","",NA,NA,NA,"K",24.35,0.82,"","","","","","","$\mathrm{K}$","","46-Pd-K"
"758",46,"Pd","",NA,NA,NA,"L1",3.604,0.014,"","","","","","","$\mathrm{L}_1$","","46-Pd-L1"
"759",46,"Pd","",NA,NA,NA,"L2",3.33,0.047,"","","","","","","$\mathrm{L}_2$","","46-Pd-L2"
"760",46,"Pd","",NA,NA,NA,"L3",3.173,0.049,"","","","","","","$\mathrm{L}_3$","","46-Pd-L3"
"761",46,"Pd","",NA,NA,NA,"M1",0.672,NA,"","","","","","","$\mathrm{M}_1$","","46-Pd-M1"
"762",46,"Pd","",NA,NA,NA,"M2",0.56,NA,"","","","","","","$\mathrm{M}_2$","","46-Pd-M2"
"763",46,"Pd","",NA,NA,NA,"M3",0.532,NA,"","","","","","","$\mathrm{M}_3$","","46-Pd-M3"
"764",46,"Pd","",NA,NA,NA,"M4",0.341,NA,"","","","","","","$\mathrm{M}_4$","","46-Pd-M4"
"765",46,"Pd","",NA,NA,NA,"M5",0.335,NA,"","","","","","","$\mathrm{M}_5$","","46-Pd-M5"
"766",46,"Pd","",NA,NA,NA,"N1",0.087,NA,"","","","","","","$\mathrm{N}_1$","","46-Pd-N1"
"767",47,"Ag","KL3",22.163,100,9.16,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","47-Ag-KL3"
"768",47,"Ag","KL2",21.99,54.4,9.32,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","47-Ag-KL2"
"769",47,"Ag","KM3",24.941,18.1,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","47-Ag-KM3"
"770",47,"Ag","KN2,3",25.45,4.7,NA,"",NA,NA,"K","K","N","N2,3","Kb2","Kb","$\mathrm{K}\mathrm{N}_{2,3}$","$\mathrm{K}\beta_2$","47-Ag-KN2,3"
"771",47,"Ag","KM2",24.91,9.3,NA,"",NA,NA,"K","K","M","M2","Kb3","Kb","$\mathrm{K}\mathrm{M}_2$","$\mathrm{K}\beta_3$","47-Ag-KM2"
"772",47,"Ag","L3M5",2.983,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","47-Ag-L3M5"
"773",47,"Ag","L3M4",2.977,11.3,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","47-Ag-L3M4"
"774",47,"Ag","L2M4",3.15,54.9,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","47-Ag-L2M4"
