"","Z","element","transition","transition.keV","intensity","width.eV","edge","edge.keV","fluorescence.yield","shell.filled","subshell.filled","shell.source","subshell.source","Siegbahn","Siegbahn.short","IUPAC.formatted","Siegbahn.formatted","uid"
"39",13,"Al","",NA,NA,NA,"M1",0.004,NA,"","","","","","","$\mathrm{M}_1$","","13-Al-M1"
"40",13,"Al","",NA,NA,NA,"M2",0.002,NA,"","","","","","","$\mathrm{M}_2$","","13-Al-M2"
"41",13,"Al","",NA,NA,NA,"M3",0.002,NA,"","","","","","","$\mathrm{M}_3$","","13-Al-M3"
"42",14,"Si","KM3",1.837,4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","14-Si-KM3"
"43",14,"Si","KL3",1.74,100,0.49,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","14-Si-KL3"
"44",14,"Si","KL2",1.739,49.5,0.49,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","14-Si-KL2"
"45",14,"Si","",NA,NA,NA,"K",1.839,0.05,"","","","","","","$\mathrm{K}$","","14-Si-K"
"46",14,"Si","",NA,NA,NA,"L1",0.15,3e-05,"","","","","","","$\mathrm{L}_1$","","14-Si-L1"
"47",14,"Si","",NA,NA,NA,"L2",0.1,0.00037,"","","","","","","$\mathrm{L}_2$","","14-Si-L2"
"48",14,"Si","",NA,NA,NA,"L3",0.099,0.00038,"","","","","","","$\mathrm{L}_3$","","14-Si-L3"
"49",14,"Si","",NA,NA,NA,"M1",0.008,NA,"","","","","","","$\mathrm{M}_1$","","14-Si-M1"
"50",14,"Si","",NA,NA,NA,"M2",0.002,NA,"","","","","","","$\mathrm{M}_2$","","14-Si-M2"
"51",14,"Si","",NA,NA,NA,"M3",0.002,NA,"","","","","","","$\mathrm{M}_3$","","14-Si-M3"
"52",15,"P","KM3",2.14,6.4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","15-P-KM3"
"53",15,"P","KL3",2.011,100,0.57,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","15-P-KL3"
"54",15,"P","KL2",2.01,49.6,0.56,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","15-P-KL2"
"55",15,"P","",NA,NA,NA,"K",2.146,0.063,"","","","","","","$\mathrm{K}$","","15-P-K"
"56",15,"P","",NA,NA,NA,"L1",0.189,3.9e-05,"","","","","","","$\mathrm{L}_1$","","15-P-L1"
"57",15,"P","",NA,NA,NA,"L2",0.136,0.00031,"","","","","","","$\mathrm{L}_2$","","15-P-L2"
"58",15,"P","",NA,NA,NA,"L3",0.135,0.00031,"","","","","","","$\mathrm{L}_3$","","15-P-L3"
"59",15,"P","",NA,NA,NA,"M1",0.012,NA,"","","","","","","$\mathrm{M}_1$","","15-P-M1"
"60",15,"P","",NA,NA,NA,"M2",0.007,NA,"","","","","","","$\mathrm{M}_2$","","15-P-M2"
"61",15,"P","",NA,NA,NA,"M3",0.006,NA,"","","","","","","$\mathrm{M}_3$","","15-P-M3"
"62",16,"S","KM3",2.465,9.2,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","16-S-KM3"
"63",16,"S","KL3",2.31,100,0.65,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","16-S-KL3"
"64",16,"S","KL2",2.308,49.8,0.64,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","16-S-KL2"
"65",16,"S","",NA,NA,NA,"K",2.472,0.078,"","","","","","","$\mathrm{K}$","","16-S-K"
"66",16,"S","",NA,NA,NA,"L1",0.231,7.4e-05,"","","","","","","$\mathrm{L}_1$","","16-S-L1"
"67",16,"S","",NA,NA,NA,"L2",0.164,0.00026,"","","","","","","$\mathrm{L}_2$","","16-S-L2"
"68",16,"S","",NA,NA,NA,"L3",0.163,0.00026,"","","","","","","$\mathrm{L}_3$","","16-S-L3"
"69",16,"S","",NA,NA,NA,"M1",0.014,NA,"","","","","","","$\mathrm{M}_1$","","16-S-M1"
"70",16,"S","",NA,NA,NA,"M2",0.008,NA,"","","","","","","$\mathrm{M}_2$","","16-S-M2"
"71",16,"S","",NA,NA,NA,"M3",0.007,NA,"","","","","","","$\mathrm{M}_3$","","16-S-M3"
"72",17,"Cl","KM3",2.812,12.1,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","17-Cl-KM3"
"73",17,"Cl","KL3",2.622,100,0.72,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","17-Cl-KL3"
"74",17,"Cl","KL2",2.62,49.9,0.72,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","17-Cl-KL2"
"75",17,"Cl","",NA,NA,NA,"K",2.822,0.097,"","","","","","","$\mathrm{K}$","","17-Cl-K"
"76",17,"Cl","",NA,NA,NA,"L1",0.27,0.00012,"","","","","","","$\mathrm{L}_1$","","17-Cl-L1"
"77",17,"Cl","",NA,NA,NA,"L2",0.202,0.00024,"","","","","","","$\mathrm{L}_2$","","17-Cl-L2"
"78",17,"Cl","",NA,NA,NA,"L3",0.2,0.00024,"","","","","","","$\mathrm{L}_3$","","17-Cl-L3"
"79",17,"Cl","",NA,NA,NA,"M1",0.018,NA,"","","","","","","$\mathrm{M}_1$","","17-Cl-M1"
"80",17,"Cl","",NA,NA,NA,"M2",0.01,NA,"","","","","","","$\mathrm{M}_2$","","17-Cl-M2"
"81",17,"Cl","",NA,NA,NA,"M3",0.01,NA,"","","","","","","$\mathrm{M}_3$","","17-Cl-M3"
"82",18,"Ar","KM3",3.19,15.3,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","18-Ar-KM3"
"83",18,"Ar","KL3",2.958,100,0.81,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","18-Ar-KL3"
"84",18,"Ar","KL2",2.955,50.1,0.8,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","18-Ar-KL2"
"85",18,"Ar","",NA,NA,NA,"K",3.206,0.118,"","","","","","","$\mathrm{K}$","","18-Ar-K"
"86",18,"Ar","",NA,NA,NA,"L1",0.326,0.00018,"","","","","","","$\mathrm{L}_1$","","18-Ar-L1"
"87",18,"Ar","",NA,NA,NA,"L2",0.251,0.00022,"","","","","","","$\mathrm{L}_2$","","18-Ar-L2"
"88",18,"Ar","",NA,NA,NA,"L3",0.248,0.00022,"","","","","","","$\mathrm{L}_3$","","18-Ar-L3"
"89",18,"Ar","",NA,NA,NA,"M1",0.029,NA,"","","","","","","$\mathrm{M}_1$","","18-Ar-M1"
"90",18,"Ar","",NA,NA,NA,"M2",0.016,NA,"","","","","","","$\mathrm{M}_2$","","18-Ar-M2"
"91",18,"Ar","",NA,NA,NA,"M3",0.016,NA,"","","","","","","$\mathrm{M}_3$","","18-Ar-M3"
"92",19,"K","KM3",3.59,17.4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","19-K-KM3"
"93",19,"K","KL3",3.314,100,0.89,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","19-K-KL3"
"94",19,"K","KL2",3.311,50.2,0.89,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","19-K-KL2"
"95",19,"K","",NA,NA,NA,"K",3.608,0.14,"","","","","","","$\mathrm{K}$","","19-K-K"
"96",19,"K","",NA,NA,NA,"L1",0.379,0.00024,"","","","","","","$\mathrm{L}_1$","","19-K-L1"
"97",19,"K","",NA,NA,NA,"L2",0.297,0.00027,"","","","","","","$\mathrm{L}_2$","","19-K-L2"
"98",19,"K","",NA,NA,NA,"L3",0.295,0.00027,"","","","","","","$\mathrm{L}_3$","","19-K-L3"
"99",19,"K","",NA,NA,NA,"M1",0.035,NA,"","","","","","","$\mathrm{M}_1$","","19-K-M1"
"100",19,"K","",NA,NA,NA,"M2",0.018,NA,"","","","","","","$\mathrm{M}_2$","","19-K-M2"
"101",19,"K","",NA,NA,NA,"M3",0.018,NA,"","","","","","","$\mathrm{M}_3$","","19-K-M3"
"102",20,"Ca","KM3",4.013,18.9,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","20-Ca-KM3"
"103",20,"Ca","KL3",3.692,100,0.98,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","20-Ca-KL3"
"104",20,"Ca","KL2",3.689,50.3,0.98,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","20-Ca-KL2"
"105",20,"Ca","",NA,NA,NA,"K",4.039,0.163,"","","","","","","$\mathrm{K}$","","20-Ca-K"
"106",20,"Ca","",NA,NA,NA,"L1",0.438,0.00031,"","","","","","","$\mathrm{L}_1$","","20-Ca-L1"
"107",20,"Ca","",NA,NA,NA,"L2",0.35,0.00033,"","","","","","","$\mathrm{L}_2$","","20-Ca-L2"
"108",20,"Ca","",NA,NA,NA,"L3",0.346,0.00033,"","","","","","","$\mathrm{L}_3$","","20-Ca-L3"
"109",20,"Ca","",NA,NA,NA,"M1",0.044,NA,"","","","","","","$\mathrm{M}_1$","","20-Ca-M1"
"110",20,"Ca","",NA,NA,NA,"M2",0.025,NA,"","","","","","","$\mathrm{M}_2$","","20-Ca-M2"
"111",20,"Ca","",NA,NA,NA,"M3",0.025,NA,"","","","","","","$\mathrm{M}_3$","","20-Ca-M3"
"112",21,"Sc","KM3",4.464,19.2,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","21-Sc-KM3"
"113",21,"Sc","KL3",4.093,100,1.05,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","21-Sc-KL3"
"114",21,"Sc","KL2",4.088,50.5,1.06,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","21-Sc-KL2"
"115",21,"Sc","L2M4",0.4,NA,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","21-Sc-L2M4"
"116",21,"Sc","L3M4,5",0.395,NA,NA,"",NA,NA,"L","L3","M","M4,5","La1,2","La","$\mathrm{L}_3\mathrm{M}_{4,5}$","$\mathrm{L}\alpha_{1,2}$","21-Sc-L3M4,5"
"117",21,"Sc","L3M1",0.348,NA,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","21-Sc-L3M1"
"118",21,"Sc","",NA,NA,NA,"K",4.492,0.188,"","","","","","","$\mathrm{K}$","","21-Sc-K"
"119",21,"Sc","",NA,NA,NA,"L1",0.498,0.00039,"","","","","","","$\mathrm{L}_1$","","21-Sc-L1"
"120",21,"Sc","",NA,NA,NA,"L2",0.404,0.00084,"","","","","","","$\mathrm{L}_2$","","21-Sc-L2"
"121",21,"Sc","",NA,NA,NA,"L3",0.399,0.00084,"","","","","","","$\mathrm{L}_3$","","21-Sc-L3"
"122",21,"Sc","",NA,NA,NA,"M1",0.051,NA,"","","","","","","$\mathrm{M}_1$","","21-Sc-M1"
"123",21,"Sc","",NA,NA,NA,"M2",0.028,NA,"","","","","","","$\mathrm{M}_2$","","21-Sc-M2"
"124",21,"Sc","",NA,NA,NA,"M3",0.028,NA,"","","","","","","$\mathrm{M}_3$","","21-Sc-M3"
"125",22,"Ti","KM3",4.933,19.6,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","22-Ti-KM3"
"126",22,"Ti","KL3",4.512,100,1.16,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","22-Ti-KL3"
"127",22,"Ti","KL2",4.506,50.6,1.18,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","22-Ti-KL2"
"128",22,"Ti","L2M4",0.458,NA,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","22-Ti-L2M4"
"129",22,"Ti","L3M4,5",0.452,NA,NA,"",NA,NA,"L","L3","M","M4,5","La1,2","La","$\mathrm{L}_3\mathrm{M}_{4,5}$","$\mathrm{L}\alpha_{1,2}$","22-Ti-L3M4,5"
"130",22,"Ti","L3M1",0.395,NA,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","22-Ti-L3M1"
"131",22,"Ti","L1M2,3",0.528,NA,NA,"",NA,NA,"L","L1","M","M2,3","Lb3,4","Lb","$\mathrm{L}_1\mathrm{M}_{2,3}$","$\mathrm{K}\beta_{3,4}$","22-Ti-L1M2,3"
"132",22,"Ti","",NA,NA,NA,"K",4.966,0.214,"","","","","","","$\mathrm{K}$","","22-Ti-K"
"133",22,"Ti","",NA,NA,NA,"L1",0.561,0.00047,"","","","","","","$\mathrm{L}_1$","","22-Ti-L1"
"134",22,"Ti","",NA,NA,NA,"L2",0.46,0.0015,"","","","","","","$\mathrm{L}_2$","","22-Ti-L2"
"135",22,"Ti","",NA,NA,NA,"L3",0.454,0.0015,"","","","","","","$\mathrm{L}_3$","","22-Ti-L3"
"136",22,"Ti","",NA,NA,NA,"M1",0.059,NA,"","","","","","","$\mathrm{M}_1$","","22-Ti-M1"
"137",22,"Ti","",NA,NA,NA,"M2",0.033,NA,"","","","","","","$\mathrm{M}_2$","","22-Ti-M2"
"138",22,"Ti","",NA,NA,NA,"M3",0.033,NA,"","","","","","","$\mathrm{M}_3$","","22-Ti-M3"
"139",22,"Ti","",NA,NA,NA,"M4",0.002,NA,"","","","","","","$\mathrm{M}_4$","","22-Ti-M4"
"140",22,"Ti","",NA,NA,NA,"M5",0.002,NA,"","","","","","","$\mathrm{M}_5$","","22-Ti-M5"
"141",23,"V","KM3",5.428,19.9,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","23-V-KM3"
"142",23,"V","KL3",4.953,100,1.26,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","23-V-KL3"
"143",23,"V","KL2",4.945,50.8,1.28,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","23-V-KL2"
"144",23,"V","L3M5",0.51,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","23-V-L3M5"
"145",23,"V","L3M4",0.51,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","23-V-L3M4"
"146",23,"V","L2M4",0.518,56.4,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","23-V-L2M4"
"147",23,"V","L1M3",0.59,4.2,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","23-V-L1M3"
"148",23,"V","L1M2",0.59,2.2,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","23-V-L1M2"
"149",23,"V","L3N1",0.512,0.2,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","23-V-L3N1"
"150",23,"V","L2N1",0.519,1.2,NA,"",NA,NA,"L","L2","N","N1","Lg5","Lg","$\mathrm{L}_2\mathrm{N}_1$","$\mathrm{L}\gamma_5$","23-V-L2N1"
"151",23,"V","L3M1",0.446,18.4,NA,"",NA,NA,"L","L3","M","M1","Ll","Ll","$\mathrm{L}_3\mathrm{M}_1$","$\mathrm{L}\ell$","23-V-L3M1"
"152",23,"V","L2M1",0.454,9.1,NA,"",NA,NA,"L","L2","M","M1","Ln","Ln","$\mathrm{L}_2\mathrm{M}_1$","$\mathrm{L}\eta$","23-V-L2M1"
"153",23,"V","",NA,NA,NA,"K",5.465,0.243,"","","","","","","$\mathrm{K}$","","23-V-K"
"154",23,"V","",NA,NA,NA,"L1",0.627,0.00058,"","","","","","","$\mathrm{L}_1$","","23-V-L1"
"155",23,"V","",NA,NA,NA,"L2",0.52,0.0026,"","","","","","","$\mathrm{L}_2$","","23-V-L2"
"156",23,"V","",NA,NA,NA,"L3",0.512,0.0026,"","","","","","","$\mathrm{L}_3$","","23-V-L3"
"157",23,"V","",NA,NA,NA,"M1",0.066,NA,"","","","","","","$\mathrm{M}_1$","","23-V-M1"
"158",23,"V","",NA,NA,NA,"M2",0.037,NA,"","","","","","","$\mathrm{M}_2$","","23-V-M2"
"159",23,"V","",NA,NA,NA,"M3",0.037,NA,"","","","","","","$\mathrm{M}_3$","","23-V-M3"
"160",23,"V","",NA,NA,NA,"M4",0.002,NA,"","","","","","","$\mathrm{M}_4$","","23-V-M4"
"161",23,"V","",NA,NA,NA,"M5",0.002,NA,"","","","","","","$\mathrm{M}_5$","","23-V-M5"
"162",24,"Cr","KM3",5.947,19.4,NA,"",NA,NA,"K","K","M","M3","Kb1","Kb","$\mathrm{K}\mathrm{M}_3$","$\mathrm{K}\beta_1$","24-Cr-KM3"
"163",24,"Cr","KL3",5.415,100,1.35,"",NA,NA,"K","K","L","L3","Ka1","Ka","$\mathrm{K}\mathrm{L}_3$","$\mathrm{K}\alpha_1$","24-Cr-KL3"
"164",24,"Cr","KL2",5.405,50.9,1.37,"",NA,NA,"K","K","L","L2","Ka2","Ka","$\mathrm{K}\mathrm{L}_2$","$\mathrm{K}\alpha_2$","24-Cr-KL2"
"165",24,"Cr","L3M5",0.572,100,NA,"",NA,NA,"L","L3","M","M5","La1","La","$\mathrm{L}_3\mathrm{M}_5$","$\mathrm{L}\alpha_1$","24-Cr-L3M5"
"166",24,"Cr","L3M4",0.572,11.4,NA,"",NA,NA,"L","L3","M","M4","La2","La","$\mathrm{L}_3\mathrm{M}_4$","$\mathrm{L}\alpha_2$","24-Cr-L3M4"
"167",24,"Cr","L2M4",0.582,47.1,NA,"",NA,NA,"L","L2","M","M4","Lb1","Lb","$\mathrm{L}_2\mathrm{M}_4$","$\mathrm{L}\beta_1$","24-Cr-L2M4"
"168",24,"Cr","L1M3",0.654,3.3,NA,"",NA,NA,"L","L1","M","M3","Lb3","Lb","$\mathrm{L}_1\mathrm{M}_3$","$\mathrm{L}\beta_3$","24-Cr-L1M3"
"169",24,"Cr","L1M2",0.654,1.8,NA,"",NA,NA,"L","L1","M","M2","Lb4","Lb","$\mathrm{L}_1\mathrm{M}_2$","$\mathrm{L}\beta_4$","24-Cr-L1M2"
"170",24,"Cr","L3N1",0.576,0.6,NA,"",NA,NA,"L","L3","N","N1","Lb6","Lb","$\mathrm{L}_3\mathrm{N}_1$","$\mathrm{L}\beta_6$","24-Cr-L3N1"
